mask,id,gender,age,img_path,age_group,label
1,000006,1,59,/opt/ml/input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg,1,10
0,000007,1,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask5.jpg,1,4
2,000007,1,58,/opt/ml/input/data/train/images/000007_female_Asian_58/normal.jpg,1,16
0,000007,1,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask2.jpg,1,4
0,000007,1,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask1.jpg,1,4
0,000007,1,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask4.jpg,1,4
1,000007,1,58,/opt/ml/input/data/train/images/000007_female_Asian_58/incorrect_mask.jpg,1,10
0,000007,1,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask3.jpg,1,4
0,000008,1,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask3.jpg,1,4
0,000008,1,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask4.jpg,1,4
0,000008,1,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask1.jpg,1,4
0,000008,1,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask2.jpg,1,4
2,000008,1,58,/opt/ml/input/data/train/images/000008_female_Asian_58/normal.jpg,1,16
0,000008,1,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask5.jpg,1,4
1,000008,1,58,/opt/ml/input/data/train/images/000008_female_Asian_58/incorrect_mask.jpg,1,10
2,000009,1,56,/opt/ml/input/data/train/images/000009_female_Asian_56/normal.jpg,1,16
0,000009,1,56,/opt/ml/input/data/train/images/000009_female_Asian_56/mask5.jpg,1,4
0,000009,1,56,/opt/ml/input/data/train/images/000009_female_Asian_56/mask1.jpg,1,4
0,000009,1,56,/opt/ml/input/data/train/images/000009_female_Asian_56/mask2.jpg,1,4
0,000009,1,56,/opt/ml/input/data/train/images/000009_female_Asian_56/mask3.jpg,1,4
0,000009,1,56,/opt/ml/input/data/train/images/000009_female_Asian_56/mask4.jpg,1,4
1,000009,1,56,/opt/ml/input/data/train/images/000009_female_Asian_56/incorrect_mask.jpg,1,10
0,000010,1,58,/opt/ml/input/data/train/images/000010_female_Asian_58/mask4.jpg,1,4
2,000010,1,58,/opt/ml/input/data/train/images/000010_female_Asian_58/normal.jpg,1,16
0,000010,1,58,/opt/ml/input/data/train/images/000010_female_Asian_58/mask5.jpg,1,4
0,000010,1,58,/opt/ml/input/data/train/images/000010_female_Asian_58/mask2.jpg,1,4
1,000010,1,58,/opt/ml/input/data/train/images/000010_female_Asian_58/incorrect_mask.jpg,1,10
0,000010,1,58,/opt/ml/input/data/train/images/000010_female_Asian_58/mask3.jpg,1,4
0,000010,1,58,/opt/ml/input/data/train/images/000010_female_Asian_58/mask1.jpg,1,4
0,000012,0,57,/opt/ml/input/data/train/images/000012_male_Asian_57/mask2.jpg,1,1
0,000012,0,57,/opt/ml/input/data/train/images/000012_male_Asian_57/mask3.jpg,1,1
0,000012,0,57,/opt/ml/input/data/train/images/000012_male_Asian_57/mask1.jpg,1,1
0,000012,0,57,/opt/ml/input/data/train/images/000012_male_Asian_57/mask5.jpg,1,1
2,000012,0,57,/opt/ml/input/data/train/images/000012_male_Asian_57/normal.jpg,1,13
0,000012,0,57,/opt/ml/input/data/train/images/000012_male_Asian_57/mask4.jpg,1,1
1,000012,0,57,/opt/ml/input/data/train/images/000012_male_Asian_57/incorrect_mask.jpg,1,7
0,000014,1,58,/opt/ml/input/data/train/images/000014_female_Asian_58/mask1.jpg,1,4
0,000014,1,58,/opt/ml/input/data/train/images/000014_female_Asian_58/mask2.jpg,1,4
0,000014,1,58,/opt/ml/input/data/train/images/000014_female_Asian_58/mask5.jpg,1,4
1,000014,1,58,/opt/ml/input/data/train/images/000014_female_Asian_58/incorrect_mask.jpg,1,10
0,000014,1,58,/opt/ml/input/data/train/images/000014_female_Asian_58/mask4.jpg,1,4
0,000014,1,58,/opt/ml/input/data/train/images/000014_female_Asian_58/mask3.jpg,1,4
2,000014,1,58,/opt/ml/input/data/train/images/000014_female_Asian_58/normal.jpg,1,16
0,000015,0,55,/opt/ml/input/data/train/images/000015_male_Asian_55/mask4.jpg,1,1
1,000015,0,55,/opt/ml/input/data/train/images/000015_male_Asian_55/incorrect_mask.jpg,1,7
2,000015,0,55,/opt/ml/input/data/train/images/000015_male_Asian_55/normal.jpg,1,13
0,000015,0,55,/opt/ml/input/data/train/images/000015_male_Asian_55/mask2.jpg,1,1
0,000015,0,55,/opt/ml/input/data/train/images/000015_male_Asian_55/mask1.jpg,1,1
0,000015,0,55,/opt/ml/input/data/train/images/000015_male_Asian_55/mask5.jpg,1,1
0,000015,0,55,/opt/ml/input/data/train/images/000015_male_Asian_55/mask3.jpg,1,1
0,000016,1,58,/opt/ml/input/data/train/images/000016_female_Asian_58/mask1.jpg,1,4
0,000016,1,58,/opt/ml/input/data/train/images/000016_female_Asian_58/mask3.jpg,1,4
0,000016,1,58,/opt/ml/input/data/train/images/000016_female_Asian_58/mask2.jpg,1,4
0,000016,1,58,/opt/ml/input/data/train/images/000016_female_Asian_58/mask5.jpg,1,4
0,000016,1,58,/opt/ml/input/data/train/images/000016_female_Asian_58/mask4.jpg,1,4
2,000016,1,58,/opt/ml/input/data/train/images/000016_female_Asian_58/normal.jpg,1,16
1,000016,1,58,/opt/ml/input/data/train/images/000016_female_Asian_58/incorrect_mask.jpg,1,10
2,000018,1,59,/opt/ml/input/data/train/images/000018_female_Asian_59/normal.jpg,1,16
0,000018,1,59,/opt/ml/input/data/train/images/000018_female_Asian_59/mask5.jpg,1,4
0,000018,1,59,/opt/ml/input/data/train/images/000018_female_Asian_59/mask1.jpg,1,4
0,000018,1,59,/opt/ml/input/data/train/images/000018_female_Asian_59/mask3.jpg,1,4
0,000018,1,59,/opt/ml/input/data/train/images/000018_female_Asian_59/mask4.jpg,1,4
1,000018,1,59,/opt/ml/input/data/train/images/000018_female_Asian_59/incorrect_mask.jpg,1,10
0,000018,1,59,/opt/ml/input/data/train/images/000018_female_Asian_59/mask2.jpg,1,4
2,000019,1,57,/opt/ml/input/data/train/images/000019_female_Asian_57/normal.jpg,1,16
0,000019,1,57,/opt/ml/input/data/train/images/000019_female_Asian_57/mask1.jpg,1,4
0,000019,1,57,/opt/ml/input/data/train/images/000019_female_Asian_57/mask3.jpg,1,4
0,000019,1,57,/opt/ml/input/data/train/images/000019_female_Asian_57/mask4.jpg,1,4
0,000019,1,57,/opt/ml/input/data/train/images/000019_female_Asian_57/mask5.jpg,1,4
1,000019,1,57,/opt/ml/input/data/train/images/000019_female_Asian_57/incorrect_mask.jpg,1,10
0,000019,1,57,/opt/ml/input/data/train/images/000019_female_Asian_57/mask2.jpg,1,4
0,000020,1,50,/opt/ml/input/data/train/images/000020_female_Asian_50/mask5.jpg,1,4
2,000020,1,50,/opt/ml/input/data/train/images/000020_female_Asian_50/normal.jpg,1,16
0,000020,1,50,/opt/ml/input/data/train/images/000020_female_Asian_50/mask1.jpg,1,4
0,000020,1,50,/opt/ml/input/data/train/images/000020_female_Asian_50/mask2.jpg,1,4
1,000020,1,50,/opt/ml/input/data/train/images/000020_female_Asian_50/incorrect_mask.jpg,1,10
0,000020,1,50,/opt/ml/input/data/train/images/000020_female_Asian_50/mask4.jpg,1,4
0,000020,1,50,/opt/ml/input/data/train/images/000020_female_Asian_50/mask3.jpg,1,4
0,000021,1,54,/opt/ml/input/data/train/images/000021_female_Asian_54/mask2.jpg,1,4
1,000021,1,54,/opt/ml/input/data/train/images/000021_female_Asian_54/incorrect_mask.jpg,1,10
0,000021,1,54,/opt/ml/input/data/train/images/000021_female_Asian_54/mask4.jpg,1,4
0,000021,1,54,/opt/ml/input/data/train/images/000021_female_Asian_54/mask5.jpg,1,4
2,000021,1,54,/opt/ml/input/data/train/images/000021_female_Asian_54/normal.jpg,1,16
0,000021,1,54,/opt/ml/input/data/train/images/000021_female_Asian_54/mask3.jpg,1,4
0,000021,1,54,/opt/ml/input/data/train/images/000021_female_Asian_54/mask1.jpg,1,4
2,000022,1,58,/opt/ml/input/data/train/images/000022_female_Asian_58/normal.jpg,1,16
0,000022,1,58,/opt/ml/input/data/train/images/000022_female_Asian_58/mask5.jpg,1,4
0,000022,1,58,/opt/ml/input/data/train/images/000022_female_Asian_58/mask1.jpg,1,4
0,000022,1,58,/opt/ml/input/data/train/images/000022_female_Asian_58/mask3.jpg,1,4
0,000022,1,58,/opt/ml/input/data/train/images/000022_female_Asian_58/mask4.jpg,1,4
1,000022,1,58,/opt/ml/input/data/train/images/000022_female_Asian_58/incorrect_mask.jpg,1,10
0,000022,1,58,/opt/ml/input/data/train/images/000022_female_Asian_58/mask2.jpg,1,4
0,000023,1,55,/opt/ml/input/data/train/images/000023_female_Asian_55/mask5.jpg,1,4
0,000023,1,55,/opt/ml/input/data/train/images/000023_female_Asian_55/mask1.jpg,1,4
0,000023,1,55,/opt/ml/input/data/train/images/000023_female_Asian_55/mask3.jpg,1,4
2,000023,1,55,/opt/ml/input/data/train/images/000023_female_Asian_55/normal.jpg,1,16
0,000023,1,55,/opt/ml/input/data/train/images/000023_female_Asian_55/mask4.jpg,1,4
1,000023,1,55,/opt/ml/input/data/train/images/000023_female_Asian_55/incorrect_mask.jpg,1,10
0,000023,1,55,/opt/ml/input/data/train/images/000023_female_Asian_55/mask2.jpg,1,4
0,000024,1,58,/opt/ml/input/data/train/images/000024_female_Asian_58/mask5.jpg,1,4
0,000024,1,58,/opt/ml/input/data/train/images/000024_female_Asian_58/mask3.jpg,1,4
0,000024,1,58,/opt/ml/input/data/train/images/000024_female_Asian_58/mask4.jpg,1,4
1,000024,1,58,/opt/ml/input/data/train/images/000024_female_Asian_58/incorrect_mask.jpg,1,10
0,000024,1,58,/opt/ml/input/data/train/images/000024_female_Asian_58/mask2.jpg,1,4
0,000024,1,58,/opt/ml/input/data/train/images/000024_female_Asian_58/mask1.jpg,1,4
2,000024,1,58,/opt/ml/input/data/train/images/000024_female_Asian_58/normal.jpg,1,16
0,000025,1,49,/opt/ml/input/data/train/images/000025_female_Asian_49/mask1.jpg,1,4
0,000025,1,49,/opt/ml/input/data/train/images/000025_female_Asian_49/mask5.jpg,1,4
1,000025,1,49,/opt/ml/input/data/train/images/000025_female_Asian_49/incorrect_mask.jpg,1,10
0,000025,1,49,/opt/ml/input/data/train/images/000025_female_Asian_49/mask2.jpg,1,4
0,000025,1,49,/opt/ml/input/data/train/images/000025_female_Asian_49/mask4.jpg,1,4
2,000025,1,49,/opt/ml/input/data/train/images/000025_female_Asian_49/normal.jpg,1,16
0,000025,1,49,/opt/ml/input/data/train/images/000025_female_Asian_49/mask3.jpg,1,4
0,000026,1,56,/opt/ml/input/data/train/images/000026_female_Asian_56/mask4.jpg,1,4
0,000026,1,56,/opt/ml/input/data/train/images/000026_female_Asian_56/mask5.jpg,1,4
0,000026,1,56,/opt/ml/input/data/train/images/000026_female_Asian_56/mask1.jpg,1,4
0,000026,1,56,/opt/ml/input/data/train/images/000026_female_Asian_56/mask3.jpg,1,4
2,000026,1,56,/opt/ml/input/data/train/images/000026_female_Asian_56/normal.jpg,1,16
0,000026,1,56,/opt/ml/input/data/train/images/000026_female_Asian_56/mask2.jpg,1,4
1,000026,1,56,/opt/ml/input/data/train/images/000026_female_Asian_56/incorrect_mask.jpg,1,10
0,000028,1,58,/opt/ml/input/data/train/images/000028_female_Asian_58/mask4.jpg,1,4
0,000028,1,58,/opt/ml/input/data/train/images/000028_female_Asian_58/mask3.jpg,1,4
0,000028,1,58,/opt/ml/input/data/train/images/000028_female_Asian_58/mask2.jpg,1,4
1,000028,1,58,/opt/ml/input/data/train/images/000028_female_Asian_58/incorrect_mask.jpg,1,10
2,000028,1,58,/opt/ml/input/data/train/images/000028_female_Asian_58/normal.jpg,1,16
0,000028,1,58,/opt/ml/input/data/train/images/000028_female_Asian_58/mask5.jpg,1,4
0,000028,1,58,/opt/ml/input/data/train/images/000028_female_Asian_58/mask1.jpg,1,4
0,000029,1,58,/opt/ml/input/data/train/images/000029_female_Asian_58/mask3.jpg,1,4
1,000029,1,58,/opt/ml/input/data/train/images/000029_female_Asian_58/incorrect_mask.jpg,1,10
0,000029,1,58,/opt/ml/input/data/train/images/000029_female_Asian_58/mask5.jpg,1,4
2,000029,1,58,/opt/ml/input/data/train/images/000029_female_Asian_58/normal.jpg,1,16
0,000029,1,58,/opt/ml/input/data/train/images/000029_female_Asian_58/mask2.jpg,1,4
0,000029,1,58,/opt/ml/input/data/train/images/000029_female_Asian_58/mask4.jpg,1,4
0,000029,1,58,/opt/ml/input/data/train/images/000029_female_Asian_58/mask1.jpg,1,4
0,000030,1,55,/opt/ml/input/data/train/images/000030_female_Asian_55/mask3.jpg,1,4
0,000030,1,55,/opt/ml/input/data/train/images/000030_female_Asian_55/mask2.jpg,1,4
0,000030,1,55,/opt/ml/input/data/train/images/000030_female_Asian_55/mask4.jpg,1,4
2,000030,1,55,/opt/ml/input/data/train/images/000030_female_Asian_55/normal.jpg,1,16
1,000030,1,55,/opt/ml/input/data/train/images/000030_female_Asian_55/incorrect_mask.jpg,1,10
0,000030,1,55,/opt/ml/input/data/train/images/000030_female_Asian_55/mask1.jpg,1,4
0,000030,1,55,/opt/ml/input/data/train/images/000030_female_Asian_55/mask5.jpg,1,4
0,000031,1,54,/opt/ml/input/data/train/images/000031_female_Asian_54/mask4.jpg,1,4
1,000031,1,54,/opt/ml/input/data/train/images/000031_female_Asian_54/incorrect_mask.jpg,1,10
0,000031,1,54,/opt/ml/input/data/train/images/000031_female_Asian_54/mask1.jpg,1,4
0,000031,1,54,/opt/ml/input/data/train/images/000031_female_Asian_54/mask5.jpg,1,4
2,000031,1,54,/opt/ml/input/data/train/images/000031_female_Asian_54/normal.jpg,1,16
0,000031,1,54,/opt/ml/input/data/train/images/000031_female_Asian_54/mask3.jpg,1,4
0,000031,1,54,/opt/ml/input/data/train/images/000031_female_Asian_54/mask2.jpg,1,4
0,000033,0,57,/opt/ml/input/data/train/images/000033_male_Asian_57/mask2.jpg,1,1
2,000033,0,57,/opt/ml/input/data/train/images/000033_male_Asian_57/normal.jpg,1,13
0,000033,0,57,/opt/ml/input/data/train/images/000033_male_Asian_57/mask5.jpg,1,1
0,000033,0,57,/opt/ml/input/data/train/images/000033_male_Asian_57/mask1.jpg,1,1
0,000033,0,57,/opt/ml/input/data/train/images/000033_male_Asian_57/mask3.jpg,1,1
0,000033,0,57,/opt/ml/input/data/train/images/000033_male_Asian_57/mask4.jpg,1,1
1,000033,0,57,/opt/ml/input/data/train/images/000033_male_Asian_57/incorrect_mask.jpg,1,7
0,000034,1,55,/opt/ml/input/data/train/images/000034_female_Asian_55/mask1.jpg,1,4
2,000034,1,55,/opt/ml/input/data/train/images/000034_female_Asian_55/normal.jpg,1,16
0,000034,1,55,/opt/ml/input/data/train/images/000034_female_Asian_55/mask3.jpg,1,4
0,000034,1,55,/opt/ml/input/data/train/images/000034_female_Asian_55/mask4.jpg,1,4
0,000034,1,55,/opt/ml/input/data/train/images/000034_female_Asian_55/mask2.jpg,1,4
0,000034,1,55,/opt/ml/input/data/train/images/000034_female_Asian_55/mask5.jpg,1,4
1,000034,1,55,/opt/ml/input/data/train/images/000034_female_Asian_55/incorrect_mask.jpg,1,10
0,000036,1,58,/opt/ml/input/data/train/images/000036_female_Asian_58/mask3.jpg,1,4
2,000036,1,58,/opt/ml/input/data/train/images/000036_female_Asian_58/normal.jpg,1,16
0,000036,1,58,/opt/ml/input/data/train/images/000036_female_Asian_58/mask5.jpg,1,4
0,000036,1,58,/opt/ml/input/data/train/images/000036_female_Asian_58/mask1.jpg,1,4
0,000036,1,58,/opt/ml/input/data/train/images/000036_female_Asian_58/mask4.jpg,1,4
1,000036,1,58,/opt/ml/input/data/train/images/000036_female_Asian_58/incorrect_mask.jpg,1,10
0,000036,1,58,/opt/ml/input/data/train/images/000036_female_Asian_58/mask2.jpg,1,4
0,000037,1,58,/opt/ml/input/data/train/images/000037_female_Asian_58/mask1.jpg,1,4
0,000037,1,58,/opt/ml/input/data/train/images/000037_female_Asian_58/mask2.jpg,1,4
1,000037,1,58,/opt/ml/input/data/train/images/000037_female_Asian_58/incorrect_mask.jpg,1,10
0,000037,1,58,/opt/ml/input/data/train/images/000037_female_Asian_58/mask4.jpg,1,4
0,000037,1,58,/opt/ml/input/data/train/images/000037_female_Asian_58/mask3.jpg,1,4
2,000037,1,58,/opt/ml/input/data/train/images/000037_female_Asian_58/normal.jpg,1,16
0,000037,1,58,/opt/ml/input/data/train/images/000037_female_Asian_58/mask5.jpg,1,4
0,000038,1,58,/opt/ml/input/data/train/images/000038_female_Asian_58/mask1.jpg,1,4
0,000038,1,58,/opt/ml/input/data/train/images/000038_female_Asian_58/mask3.jpg,1,4
0,000038,1,58,/opt/ml/input/data/train/images/000038_female_Asian_58/mask5.jpg,1,4
0,000038,1,58,/opt/ml/input/data/train/images/000038_female_Asian_58/mask4.jpg,1,4
1,000038,1,58,/opt/ml/input/data/train/images/000038_female_Asian_58/incorrect_mask.jpg,1,10
2,000038,1,58,/opt/ml/input/data/train/images/000038_female_Asian_58/normal.jpg,1,16
0,000038,1,58,/opt/ml/input/data/train/images/000038_female_Asian_58/mask2.jpg,1,4
0,000039,1,57,/opt/ml/input/data/train/images/000039_female_Asian_57/mask4.jpg,1,4
0,000039,1,57,/opt/ml/input/data/train/images/000039_female_Asian_57/mask5.jpg,1,4
1,000039,1,57,/opt/ml/input/data/train/images/000039_female_Asian_57/incorrect_mask.jpg,1,10
0,000039,1,57,/opt/ml/input/data/train/images/000039_female_Asian_57/mask2.jpg,1,4
2,000039,1,57,/opt/ml/input/data/train/images/000039_female_Asian_57/normal.jpg,1,16
0,000039,1,57,/opt/ml/input/data/train/images/000039_female_Asian_57/mask3.jpg,1,4
0,000039,1,57,/opt/ml/input/data/train/images/000039_female_Asian_57/mask1.jpg,1,4
2,000040,1,57,/opt/ml/input/data/train/images/000040_female_Asian_57/normal.jpg,1,16
1,000040,1,57,/opt/ml/input/data/train/images/000040_female_Asian_57/incorrect_mask.jpg,1,10
0,000040,1,57,/opt/ml/input/data/train/images/000040_female_Asian_57/mask4.jpg,1,4
0,000040,1,57,/opt/ml/input/data/train/images/000040_female_Asian_57/mask3.jpg,1,4
0,000040,1,57,/opt/ml/input/data/train/images/000040_female_Asian_57/mask1.jpg,1,4
0,000040,1,57,/opt/ml/input/data/train/images/000040_female_Asian_57/mask5.jpg,1,4
0,000040,1,57,/opt/ml/input/data/train/images/000040_female_Asian_57/mask2.jpg,1,4
0,000041,1,58,/opt/ml/input/data/train/images/000041_female_Asian_58/mask5.jpg,1,4
0,000041,1,58,/opt/ml/input/data/train/images/000041_female_Asian_58/mask2.jpg,1,4
1,000041,1,58,/opt/ml/input/data/train/images/000041_female_Asian_58/incorrect_mask.jpg,1,10
0,000041,1,58,/opt/ml/input/data/train/images/000041_female_Asian_58/mask4.jpg,1,4
0,000041,1,58,/opt/ml/input/data/train/images/000041_female_Asian_58/mask3.jpg,1,4
0,000041,1,58,/opt/ml/input/data/train/images/000041_female_Asian_58/mask1.jpg,1,4
2,000041,1,58,/opt/ml/input/data/train/images/000041_female_Asian_58/normal.jpg,1,16
0,000043,0,56,/opt/ml/input/data/train/images/000043_male_Asian_56/mask2.jpg,1,1
1,000043,0,56,/opt/ml/input/data/train/images/000043_male_Asian_56/incorrect_mask.jpg,1,7
0,000043,0,56,/opt/ml/input/data/train/images/000043_male_Asian_56/mask4.jpg,1,1
0,000043,0,56,/opt/ml/input/data/train/images/000043_male_Asian_56/mask3.jpg,1,1
2,000043,0,56,/opt/ml/input/data/train/images/000043_male_Asian_56/normal.jpg,1,13
0,000043,0,56,/opt/ml/input/data/train/images/000043_male_Asian_56/mask1.jpg,1,1
0,000043,0,56,/opt/ml/input/data/train/images/000043_male_Asian_56/mask5.jpg,1,1
2,000044,1,58,/opt/ml/input/data/train/images/000044_female_Asian_58/normal.jpg,1,16
0,000044,1,58,/opt/ml/input/data/train/images/000044_female_Asian_58/mask5.jpg,1,4
0,000044,1,58,/opt/ml/input/data/train/images/000044_female_Asian_58/mask2.jpg,1,4
0,000044,1,58,/opt/ml/input/data/train/images/000044_female_Asian_58/mask3.jpg,1,4
0,000044,1,58,/opt/ml/input/data/train/images/000044_female_Asian_58/mask4.jpg,1,4
1,000044,1,58,/opt/ml/input/data/train/images/000044_female_Asian_58/incorrect_mask.jpg,1,10
0,000044,1,58,/opt/ml/input/data/train/images/000044_female_Asian_58/mask1.jpg,1,4
1,000045,1,56,/opt/ml/input/data/train/images/000045_female_Asian_56/incorrect_mask.jpg,1,10
0,000045,1,56,/opt/ml/input/data/train/images/000045_female_Asian_56/mask3.jpg,1,4
0,000045,1,56,/opt/ml/input/data/train/images/000045_female_Asian_56/mask1.jpg,1,4
0,000045,1,56,/opt/ml/input/data/train/images/000045_female_Asian_56/mask5.jpg,1,4
0,000045,1,56,/opt/ml/input/data/train/images/000045_female_Asian_56/mask2.jpg,1,4
2,000045,1,56,/opt/ml/input/data/train/images/000045_female_Asian_56/normal.jpg,1,16
0,000045,1,56,/opt/ml/input/data/train/images/000045_female_Asian_56/mask4.jpg,1,4
0,000046,0,55,/opt/ml/input/data/train/images/000046_male_Asian_55/mask3.jpg,1,1
0,000046,0,55,/opt/ml/input/data/train/images/000046_male_Asian_55/mask2.jpg,1,1
1,000046,0,55,/opt/ml/input/data/train/images/000046_male_Asian_55/incorrect_mask.jpg,1,7
0,000046,0,55,/opt/ml/input/data/train/images/000046_male_Asian_55/mask4.jpg,1,1
0,000046,0,55,/opt/ml/input/data/train/images/000046_male_Asian_55/mask1.jpg,1,1
0,000046,0,55,/opt/ml/input/data/train/images/000046_male_Asian_55/mask5.jpg,1,1
2,000046,0,55,/opt/ml/input/data/train/images/000046_male_Asian_55/normal.jpg,1,13
0,000047,0,58,/opt/ml/input/data/train/images/000047_male_Asian_58/mask1.jpg,1,1
0,000047,0,58,/opt/ml/input/data/train/images/000047_male_Asian_58/mask5.jpg,1,1
0,000047,0,58,/opt/ml/input/data/train/images/000047_male_Asian_58/mask3.jpg,1,1
2,000047,0,58,/opt/ml/input/data/train/images/000047_male_Asian_58/normal.jpg,1,13
0,000047,0,58,/opt/ml/input/data/train/images/000047_male_Asian_58/mask4.jpg,1,1
1,000047,0,58,/opt/ml/input/data/train/images/000047_male_Asian_58/incorrect_mask.jpg,1,7
0,000047,0,58,/opt/ml/input/data/train/images/000047_male_Asian_58/mask2.jpg,1,1
0,000048,1,57,/opt/ml/input/data/train/images/000048_female_Asian_57/mask2.jpg,1,4
0,000048,1,57,/opt/ml/input/data/train/images/000048_female_Asian_57/mask1.jpg,1,4
0,000048,1,57,/opt/ml/input/data/train/images/000048_female_Asian_57/mask3.jpg,1,4
2,000048,1,57,/opt/ml/input/data/train/images/000048_female_Asian_57/normal.jpg,1,16
0,000048,1,57,/opt/ml/input/data/train/images/000048_female_Asian_57/mask5.jpg,1,4
1,000048,1,57,/opt/ml/input/data/train/images/000048_female_Asian_57/incorrect_mask.jpg,1,10
0,000048,1,57,/opt/ml/input/data/train/images/000048_female_Asian_57/mask4.jpg,1,4
0,000062,1,55,/opt/ml/input/data/train/images/000062_female_Asian_55/mask1.jpg,1,4
0,000062,1,55,/opt/ml/input/data/train/images/000062_female_Asian_55/mask2.jpg,1,4
2,000062,1,55,/opt/ml/input/data/train/images/000062_female_Asian_55/normal.jpg,1,16
0,000062,1,55,/opt/ml/input/data/train/images/000062_female_Asian_55/mask3.jpg,1,4
0,000062,1,55,/opt/ml/input/data/train/images/000062_female_Asian_55/mask5.jpg,1,4
0,000062,1,55,/opt/ml/input/data/train/images/000062_female_Asian_55/mask4.jpg,1,4
1,000062,1,55,/opt/ml/input/data/train/images/000062_female_Asian_55/incorrect_mask.jpg,1,10
0,000064,0,59,/opt/ml/input/data/train/images/000064_male_Asian_59/mask4.jpg,1,1
0,000064,0,59,/opt/ml/input/data/train/images/000064_male_Asian_59/mask1.jpg,1,1
1,000064,0,59,/opt/ml/input/data/train/images/000064_male_Asian_59/incorrect_mask.jpg,1,7
0,000064,0,59,/opt/ml/input/data/train/images/000064_male_Asian_59/mask3.jpg,1,1
0,000064,0,59,/opt/ml/input/data/train/images/000064_male_Asian_59/mask5.jpg,1,1
2,000064,0,59,/opt/ml/input/data/train/images/000064_male_Asian_59/normal.jpg,1,13
0,000064,0,59,/opt/ml/input/data/train/images/000064_male_Asian_59/mask2.jpg,1,1
